date,bank_account,account_code,customer_id,amount,forecast,type
2018-01-17 00:00:00,244,Miscellaneous,12488,-17.4845,0,SPEND
2018-01-17 00:00:00,244,Miscellaneous,12489,271.04,0,RECEIVE
2018-01-17 00:00:00,244,Supplier payment,11262,-100,0,SPEND
2018-01-17 00:00:00,244,Supplier payment,11385,31.5,0,RECEIVE
2018-01-17 00:00:00,244,Supplier payment,12455,-77.066,0,SPEND
2018-01-18 00:00:00,244,Supplier payment,11810,-6.3,0,SPEND
2018-01-18 00:00:00,244,Supplier payment,11798,-10.7,0,SPEND
2018-01-18 00:00:00,244,Supplier payment,11803,-28.4645,0,SPEND
2018-01-18 00:00:00,244,Supplier payment,11806,-2.1,0,SPEND
2018-01-18 00:00:00,244,Supplier payment,11417,-75.032,0,SPEND
2018-01-18 00:00:00,244,Customer payment,10327,4642.59,0,RECEIVE
2018-01-18 00:00:00,244,Supplier payment,12397,-70.1735,0,SPEND
2018-01-19 00:00:00,244,Miscellaneous,12485,-1903.1985,0,SPEND
2018-01-19 00:00:00,244,Miscellaneous,12485,-1941.401,0,SPEND
2018-01-22 00:00:00,244,Salaries,12491,-12500,0,SPEND
2018-01-22 00:00:00,244,Salaries,12491,-8075,0,SPEND
2018-01-22 00:00:00,244,Tax,12486,5120,0,RECEIVE
2018-01-22 00:00:00,244,Miscellaneous,12484,-500,0,SPEND
2018-01-22 00:00:00,244,Customer payment,10587,32.75,0,RECEIVE
2018-01-22 00:00:00,244,Miscellaneous,12490,-400,0,SPEND
2018-01-22 00:00:00,244,Miscellaneous,12484,-1151.0695,0,SPEND
2018-01-23 00:00:00,244,Supplier payment,11423,-5.1125,0,SPEND
2018-01-23 00:00:00,244,Miscellaneous,12488,-2.9645,0,SPEND
2018-01-23 00:00:00,244,Customer payment,10671,4318.5,0,RECEIVE
2018-01-23 00:00:00,244,Supplier payment,11417,-34.6845,0,SPEND
2018-01-23 00:00:00,244,Supplier payment,11423,-2.1175,0,SPEND
2018-01-23 00:00:00,244,Miscellaneous,12488,-2.9645,0,SPEND
2018-01-24 00:00:00,244,Supplier payment,12353,-0.775,0,SPEND
2018-01-24 00:00:00,244,Supplier payment,12449,894.865,0,RECEIVE
2018-01-25 00:00:00,244,Supplier payment,10968,-12,0,SPEND
2018-01-25 00:00:00,244,Supplier payment,10968,-12,0,SPEND
2018-01-25 00:00:00,244,Customer payment,10661,4437.5,0,RECEIVE
2018-01-25 00:00:00,244,Supplier payment,11682,-10.702,0,SPEND
2018-01-25 00:00:00,244,Supplier payment,11713,-5.716,0,SPEND
2018-01-25 00:00:00,244,Supplier payment,11875,-35.857,0,SPEND
2018-01-25 00:00:00,244,Supplier payment,12277,-28.64,0,SPEND
2018-01-25 00:00:00,244,Supplier payment,11774,-744.486,0,SPEND
2018-01-25 00:00:00,244,Miscellaneous,12485,-1101.986,0,SPEND
2018-01-25 00:00:00,244,Miscellaneous,12490,-809.9265,0,SPEND
2018-01-25 00:00:00,244,Supplier payment,11842,-13.8605,0,SPEND
2018-01-25 00:00:00,244,Supplier payment,11713,-13.8,0,SPEND
2018-01-26 00:00:00,244,Customer payment,10661,2038.5,0,RECEIVE
2018-01-26 00:00:00,244,Customer payment,10677,2094.25,0,RECEIVE
2018-01-26 00:00:00,244,Supplier payment,11617,-18.513,0,SPEND
2018-01-29 00:00:00,244,Tax,12492,-11366.45,0,SPEND
2018-01-29 00:00:00,244,Customer payment,10671,1496.125,0,RECEIVE
2018-01-29 00:00:00,244,Supplier payment,11259,-949.652,0,SPEND
2018-01-29 00:00:00,244,Supplier payment,12284,-0.0995,0,SPEND
2018-01-29 00:00:00,244,Supplier payment,11329,-29.3285,0,SPEND
2018-01-29 00:00:00,244,Supplier payment,11281,-56.084,0,SPEND
2018-01-29 00:00:00,244,Supplier payment,11354,-109.0845,0,SPEND
2018-01-29 00:00:00,244,Supplier payment,11319,-562.9665,0,SPEND
2018-01-29 00:00:00,244,Supplier payment,12412,-2.8915,0,SPEND
2018-01-29 00:00:00,244,Customer payment,10671,3594.5,0,RECEIVE
2018-01-30 00:00:00,244,Supplier payment,11632,-1.75,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11842,-2.5,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11798,-4.5,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11011,-10.8015,0,SPEND
2018-01-30 00:00:00,244,Customer payment,10701,241.025,0,RECEIVE
2018-01-30 00:00:00,244,Supplier payment,11806,-0.4,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11732,-12.5705,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11062,-29.14,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,10972,-17.1375,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11148,-23.8265,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11810,-12.9,0,SPEND
2018-01-30 00:00:00,244,Customer payment,10661,2872.7,0,RECEIVE
2018-01-30 00:00:00,244,Customer payment,10700,246.225,0,RECEIVE
