date,bank_account,customer_id,account_code,type,amount,organisation,forecast
2018-01-15 00:00:00,244,11901,Supplier payment,SPEND,-118.2165,999,0
2018-01-15 00:00:00,244,11222,Supplier payment,SPEND,-8.8755,999,0
2018-01-15 00:00:00,244,11222,Supplier payment,SPEND,-4.355,999,0
2018-01-15 00:00:00,244,10954,Supplier payment,SPEND,-12.7655,999,0
2018-01-15 00:00:00,244,10672,Customer payment,RECEIVE,2721.25,999,0
2018-01-15 00:00:00,244,10666,Customer payment,RECEIVE,809.4125,999,0
2018-01-15 00:00:00,244,10694,Customer payment,RECEIVE,127.05,999,0
2018-01-15 00:00:00,244,11877,Supplier payment,SPEND,-81.4025,999,0
2018-01-17 00:00:00,244,12455,Supplier payment,SPEND,-77.066,999,0
2018-01-17 00:00:00,244,11385,Supplier payment,RECEIVE,31.5,999,0
2018-01-17 00:00:00,244,11262,Supplier payment,SPEND,-100,999,0
2018-01-22 00:00:00,244,10587,Customer payment,RECEIVE,32.75,999,0
2018-01-24 00:00:00,244,12353,Supplier payment,SPEND,-0.775,999,0
2018-01-24 00:00:00,244,12449,Supplier payment,RECEIVE,894.865,999,0
2018-01-23 00:00:00,244,10671,Customer payment,RECEIVE,4318.5,999,0
2018-01-23 00:00:00,244,11417,Supplier payment,SPEND,-34.6845,999,0
2018-01-23 00:00:00,244,11423,Supplier payment,SPEND,-5.1125,999,0
2018-01-23 00:00:00,244,11423,Supplier payment,SPEND,-2.1175,999,0
2018-01-25 00:00:00,244,10968,Supplier payment,SPEND,-12,999,0
2018-01-25 00:00:00,244,10968,Supplier payment,SPEND,-12,999,0
2018-01-25 00:00:00,244,10661,Customer payment,RECEIVE,4437.5,999,0
2018-01-25 00:00:00,244,11682,Supplier payment,SPEND,-10.702,999,0
2018-01-25 00:00:00,244,11713,Supplier payment,SPEND,-13.8,999,0
2018-01-25 00:00:00,244,11713,Supplier payment,SPEND,-5.716,999,0
2018-01-25 00:00:00,244,11842,Supplier payment,SPEND,-13.8605,999,0
2018-01-25 00:00:00,244,11875,Supplier payment,SPEND,-35.857,999,0
2018-01-25 00:00:00,244,12277,Supplier payment,SPEND,-28.64,999,0
2018-01-25 00:00:00,244,11774,Supplier payment,SPEND,-744.486,999,0
2018-01-26 00:00:00,244,10661,Customer payment,RECEIVE,2038.5,999,0
2018-01-26 00:00:00,244,10677,Customer payment,RECEIVE,2094.25,999,0
2018-01-26 00:00:00,244,11617,Supplier payment,SPEND,-18.513,999,0
2018-01-29 00:00:00,244,12284,Supplier payment,SPEND,-0.0995,999,0
2018-01-29 00:00:00,244,11329,Supplier payment,SPEND,-29.3285,999,0
2018-01-29 00:00:00,244,11281,Supplier payment,SPEND,-56.084,999,0
2018-01-29 00:00:00,244,11354,Supplier payment,SPEND,-109.0845,999,0
2018-01-29 00:00:00,244,11319,Supplier payment,SPEND,-562.9665,999,0
2018-01-29 00:00:00,244,11259,Supplier payment,SPEND,-949.652,999,0
2018-01-29 00:00:00,244,12412,Supplier payment,SPEND,-2.8915,999,0
2018-01-29 00:00:00,244,10671,Customer payment,RECEIVE,3594.5,999,0
2018-01-29 00:00:00,244,10671,Customer payment,RECEIVE,1496.125,999,0
2018-01-30 00:00:00,244,10591,Customer payment,RECEIVE,50.82,999,0
2018-01-30 00:00:00,244,10591,Customer payment,RECEIVE,236.875,999,0
2018-01-30 00:00:00,244,10661,Customer payment,RECEIVE,2872.7,999,0
2018-01-30 00:00:00,244,11516,Supplier payment,SPEND,-24.7745,999,0
2018-01-30 00:00:00,244,10701,Customer payment,RECEIVE,241.025,999,0
2018-01-30 00:00:00,244,10700,Customer payment,RECEIVE,246.225,999,0
2018-01-30 00:00:00,244,11726,Supplier payment,SPEND,-16.5825,999,0
2018-01-30 00:00:00,244,11810,Supplier payment,SPEND,-12.9,999,0
2018-01-30 00:00:00,244,11806,Supplier payment,SPEND,-0.4,999,0
2018-01-30 00:00:00,244,11632,Supplier payment,SPEND,-1.75,999,0
2018-01-30 00:00:00,244,11842,Supplier payment,SPEND,-2.5,999,0
2018-01-30 00:00:00,244,11798,Supplier payment,SPEND,-4.5,999,0
2018-01-30 00:00:00,244,11011,Supplier payment,SPEND,-10.8015,999,0
2018-01-30 00:00:00,244,11148,Supplier payment,SPEND,-23.8265,999,0
2018-01-30 00:00:00,244,11732,Supplier payment,SPEND,-12.5705,999,0
2018-01-30 00:00:00,244,11062,Supplier payment,SPEND,-29.14,999,0
2018-01-30 00:00:00,244,10972,Supplier payment,SPEND,-17.1375,999,0
2018-01-30 00:00:00,244,11856,Supplier payment,SPEND,-17.3,999,0
2018-01-30 00:00:00,244,11448,Supplier payment,SPEND,-75.7885,999,0
2018-01-31 00:00:00,244,11222,Supplier payment,SPEND,-3.9575,999,0
2018-01-31 00:00:00,244,10964,Supplier payment,SPEND,-0.1525,999,0
2018-01-31 00:00:00,244,10704,Customer payment,RECEIVE,28.605,999,0
2018-01-31 00:00:00,244,10705,Customer payment,RECEIVE,85.03,999,0
2018-02-01 00:00:00,244,10698,Customer payment,RECEIVE,22.03,999,0
2018-02-01 00:00:00,244,10702,Customer payment,RECEIVE,437.44,999,0
2018-02-01 00:00:00,244,10706,Customer payment,RECEIVE,64.135,999,0
2018-02-01 00:00:00,244,10661,Customer payment,RECEIVE,146.25,999,0
2018-02-01 00:00:00,244,10661,Customer payment,RECEIVE,16.25,999,0
2018-02-01 00:00:00,244,11904,Supplier payment,SPEND,-254.1,999,0
2018-02-01 00:00:00,244,11262,Supplier payment,SPEND,-500,999,0
2018-02-01 00:00:00,244,11484,Supplier payment,SPEND,-937.5,999,0
2018-02-01 00:00:00,244,10567,Customer payment,RECEIVE,337.585,999,0
2018-02-02 00:00:00,244,10663,Customer payment,RECEIVE,27236.055,999,0
2018-02-02 00:00:00,244,10537,Customer payment,RECEIVE,5176.33625,999,0
2018-02-05 00:00:00,244,10703,Customer payment,RECEIVE,468.0375,999,0
2018-02-05 00:00:00,244,11364,Supplier payment,SPEND,-4.145,999,0
2018-02-05 00:00:00,244,11047,Supplier payment,SPEND,-25,999,0
2018-02-05 00:00:00,244,11484,Supplier payment,SPEND,-3333.1928125,999,0
2018-02-05 00:00:00,244,10537,Customer payment,RECEIVE,806.739375,999,0
2018-02-05 00:00:00,244,11417,Supplier payment,SPEND,-7.97,999,0
2018-02-05 00:00:00,244,11423,Supplier payment,SPEND,-6.8075,999,0
2018-02-06 00:00:00,244,10661,Customer payment,RECEIVE,9.7125,999,0
2018-02-06 00:00:00,244,11344,Supplier payment,SPEND,-39.085,999,0
2018-02-06 00:00:00,244,11842,Supplier payment,SPEND,-50.8375,999,0
2018-02-06 00:00:00,244,11774,Supplier payment,SPEND,-614.6703125,999,0
2018-02-06 00:00:00,244,11346,Supplier payment,SPEND,-35,999,0
2018-02-06 00:00:00,244,11896,Supplier payment,SPEND,-12,999,0
2018-02-06 00:00:00,244,11841,Supplier payment,SPEND,-133.705,999,0
2018-02-06 00:00:00,244,12453,Supplier payment,SPEND,-83.3525,999,0
2018-02-06 00:00:00,244,11410,Supplier payment,SPEND,-107.19,999,0
2018-02-06 00:00:00,244,11410,Supplier payment,SPEND,-287.25,999,0
2018-02-06 00:00:00,244,11410,Supplier payment,SPEND,-457.36,999,0
2018-02-07 00:00:00,244,12379,Supplier payment,SPEND,-1516.5525,999,0
2018-02-08 00:00:00,244,12421,Supplier payment,SPEND,-14.795,999,0
2018-02-08 00:00:00,244,10327,Customer payment,RECEIVE,583.8365625,999,0
2018-02-08 00:00:00,244,11829,Supplier payment,SPEND,-93.9275,999,0
2018-02-09 00:00:00,244,11801,Supplier payment,SPEND,-60.5,999,0
2018-02-09 00:00:00,244,11519,Supplier payment,SPEND,-35,999,0
2018-02-13 00:00:00,244,11901,Supplier payment,SPEND,-591.0825,999,0
2018-02-13 00:00:00,244,10648,Customer payment,RECEIVE,8.7725,999,0
2018-02-13 00:00:00,244,10967,Supplier payment,SPEND,-437.0725,999,0
2018-02-13 00:00:00,244,11410,Supplier payment,SPEND,-16.98,999,0
2018-02-13 00:00:00,244,11410,Supplier payment,SPEND,-605.1175,999,0
2018-02-13 00:00:00,244,11931,Supplier payment,SPEND,-903.87,999,0
2018-02-13 00:00:00,244,11540,Supplier payment,SPEND,-25,999,0
2018-02-13 00:00:00,244,11544,Supplier payment,SPEND,-72.6,999,0
2018-02-13 00:00:00,244,11543,Supplier payment,SPEND,-89.1875,999,0
2018-02-13 00:00:00,244,12277,Supplier payment,SPEND,-66.85,999,0
2018-02-13 00:00:00,244,11472,Supplier payment,SPEND,-2471.3275,999,0
2018-02-13 00:00:00,244,11732,Supplier payment,SPEND,-19.805,999,0
2018-02-13 00:00:00,244,11638,Supplier payment,SPEND,-48.0975,999,0
2018-02-13 00:00:00,244,11615,Supplier payment,SPEND,-54.25,999,0
2018-02-13 00:00:00,244,11929,Supplier payment,SPEND,-33.7425,999,0
2018-02-13 00:00:00,244,11259,Supplier payment,SPEND,-55.2,999,0
2018-02-13 00:00:00,244,11410,Supplier payment,SPEND,-312.01,999,0
2018-02-13 00:00:00,244,11623,Supplier payment,SPEND,-30,999,0
2018-02-14 00:00:00,244,11088,Supplier payment,SPEND,-0.6075,999,0
2018-02-14 00:00:00,244,11514,Supplier payment,SPEND,-810.905,999,0
2018-02-14 00:00:00,244,10637,Customer payment,RECEIVE,8.7725,999,0
