party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
12260,,2018-11,90981,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,24.57,0,999,P
12261,,2018-11,90982,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,24.57,0,999,P
12262,,2018-11,90983,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,16.38,0,999,P
12262,,2018-11,90984,2018-10-01 00:00:00,2018-10-31 00:00:00,,,EUR,131.04,0,999,P
12263,,2018-11,90985,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,388.3815,0,999,P
12264,,2018-11,90986,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,81.9,0,999,P
12265,,2018-11,90987,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,16.38,0,999,P
12266,,2018-11,90988,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,140.4,0,999,P
12267,,2018-11,90989,2018-09-16 00:00:00,2018-10-21 00:00:00,,,EUR,81.9,0,999,P
12277,,2018-07,90990,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,26.3133,0,999,P
12277,,2018-11,90991,2018-09-23 00:00:00,2018-10-14 00:00:00,,,EUR,290.2653,0,999,P
12277,,2018-11,90992,2018-09-26 00:00:00,2018-10-17 00:00:00,,,EUR,347.1858,0,999,P
12277,,2018-11,90993,2018-09-30 00:00:00,2018-10-21 00:00:00,,,EUR,525.0609,0,999,P
12277,,2018-11,90994,2018-10-04 00:00:00,2018-10-25 00:00:00,,,EUR,443.9682,0,999,P
12282,,2018-08,90995,2018-06-03 00:00:00,2018-07-03 00:00:00,,,EUR,1675.1826,0,999,P
12284,,2018-05,90996,2018-03-28 00:00:00,2018-04-27 00:00:00,,,EUR,2.3283,0,999,P
12284,,2018-10,90997,2018-08-29 00:00:00,2018-09-28 00:00:00,,,EUR,2.3283,0,999,P
12284,,2017-03,90998,2017-01-29 00:00:00,2017-02-28 00:00:00,,,EUR,1401.4845,0,999,P
12291,,2018-07,90999,2018-06-01 00:00:00,2018-07-01 00:00:00,,,EUR,14992.7544,0,999,P
12291,,2018-10,91000,2018-08-08 00:00:00,2018-09-07 00:00:00,,,EUR,225.3771,0,999,P
